ngram,size,n
1.0 1.0 1.0,3,117
2016 t.d,2,117
affordable care,2,117
business assets,2,117
chief counsel,2,117
eligible employee,2,117
employee contribution,2,117
employee pension,2,117
entity means,2,117
federal poverty line,3,117
foundation manager,2,117
guaranteed payments,2,117
key employees,2,117
loan association,2,117
ownership requirements,2,117
personal liability,2,117
qualified separate lines,3,117
simple trust,2,117
simplified employee,2,117
stock pursuant,2,117
target subsidiary,2,117
term employee,2,117
wellness program,2,117
administrative remedies,2,116
calendar quarters,2,116
carryover basis,2,116
common law,2,116
deemed transferred,2,116
employee representatives,2,116
export receipts,2,116
fap application,2,116
fdap income,2,116
importation property,2,116
individual taxpayer,2,116
market rate,2,116
nonrecourse debt,2,116
period prior,2,116
political party,2,116
production activity,2,116
reportable payment,2,116
selling expenses,2,116
stability period,2,116
taxable branch,2,116
withholding certificates,2,116
withholding exemption certificate,3,116
written binding,2,116
calendar days,2,115
contribution rate,2,115
depreciation reserve,2,115
disorder benefits,2,115
floating rate,2,115
foreign losses,2,115
ft stock,2,115
future benefit,2,115
irrevocable trust,2,115
NA NA NA NA NA NA,6,115
percent compounded annually,3,115
principal contracts,2,115
prohibited tax,2,115
prohibited tax shelter,3,115
qualified export receipts,3,115
qualified foreign,2,115
respect thereto,2,115
sick pay,2,115
single sum payment,3,115
split taxes,2,115
total voting,2,115
withholding foreign,2,115
2007 t.d,2,114
additional allowance,2,114
alien individuals,2,114
bad debt,2,114
balance plan,2,114
bonded premises,2,114
business carried,2,114
combined income,2,114
notional principal contracts,3,114
percentage determined,2,114
qualified employee,2,114
sole proprietorship,2,114
territory financial institution,3,114
transaction occurs,2,114
unpaid tax,2,114
valuation misstatement,2,114
capitalization amount,2,113
category inflation,2,113
connected earnings,2,113
contract entered,2,113
death tax,2,113
effectively connected earnings,3,113
employee's accrued,2,113
excess amount,2,113
excess profits taxes,3,113
exchanging shareholder,2,113
group's consolidated,2,113
indian tribal,2,113
investment trusts,2,113
irs determines,2,113
net positive adjustment,3,113
nonaccrual experience,2,113
nonlife consolidated,2,113
nonparticipating ffi,2,113
notice required,2,113
paid credited,2,113
previously deducted,2,113
properly chargeable,2,113
qsub election,2,113
security retirement,2,113
social security retirement,3,113
source fdap,2,113
tentative tax,2,113
term rate,2,113
tfd stock,2,113
total voting power,3,113
u.s source fdap,3,113
1996 t.d,2,112
activity bonds,2,112
amounts required,2,112
average exchange rate,3,112
corporation organized,2,112
correct information,2,112
debt financed property,3,112
distilled spirits plant,3,112
duly authorized,2,112
extent required,2,112
installment sale,2,112
net negative adjustment,3,112
organization exempt,2,112
partnership trust,2,112
person owns,2,112
private activity bonds,3,112
recovery deduction,2,112
relevant property,2,112
rental property,2,112
specific portion,2,112
spirits plant,2,112
srly subgroup,2,112
tax administration,2,112
tax credit limitation,3,112
taxpayer's income tax return,4,112
term net,2,112
tobacco products,2,112
transactions involving,2,112
applicable requirements,2,111
bargaining agreements,2,111
collective bargaining agreements,3,111
common shares,2,111
company shipping income,3,111
directly owns,2,111
eligible governmental plan,3,111
export trade assets,3,111
filed return,2,111
finally determined,2,111
form 8865,2,111
housing cost,2,111
insurance arrangement,2,111
nuclear power plant,3,111
person liable,2,111
preproductive period,2,111
public office,2,111
qualified business unit,3,111
qualified payment,2,111
substituted combined,2,111
tax previously,2,111
taxable income computed,3,111
trade assets,2,111
1.6 1.6,2,110
1994 t.d,2,110
amount charged,2,110
amount contributed,2,110
annuity trust,2,110
capacity taxpayers,2,110
civil action,2,110
collectively bargained employees,3,110
consolidated net capital,3,110
corporation including,2,110
dual capacity taxpayers,3,110
eligible individuals,2,110
employee's gross,2,110
expenses attributable,2,110
filing requirements,2,110
final average,2,110
gross foreign base,3,110
gross foreign base company,4,110
income taxes deemed,3,110
lives covered,2,110
mismatch payment,2,110
parent subsidiary,2,110
percentage means,2,110
person including,2,110
plan benefits,2,110
premium tax,2,110
principal balance,2,110
production method,2,110
property laws,2,110
qualified hedging,2,110
qualified indebtedness,2,110
raw materials,2,110
savings account,2,110
source fdap income,3,110
statement attached,2,110
substitute form,2,110
tier cfc,2,110
u.s source fdap income,4,110
unrealized appreciation,2,110
0.75 percent,2,109
activity loss,2,109
actual distribution,2,109
credit allocation,2,109
credit certificates,2,109
determined separately,2,109
electing trust,2,109
estimated income tax,3,109
extraordinary reduction,2,109
financial assistance,2,109
foreign income taxes deemed,4,109
income including,2,109
mortgage credit certificates,3,109
passive activity loss,3,109
qualified cash,2,109
retirement plans,2,109
royalty income,2,109
single class,2,109
sponsored ffi,2,109
substitute mortality,2,109
taxable income attributable,3,109
taxpayer's liability,2,109
transfer price,2,109
transparent entity,2,109
1.9 1.9,2,108
1986 investment,2,108
aggregate adjusted,2,108
air transportation,2,108
allocation rates,2,108
applicable financial,2,108
base company shipping income,4,108
commissioner's consent,2,108
corporate acquisition,2,108
distributee partner,2,108
distributive shares,2,108
dollar life insurance arrangement,4,108
foreign base company shipping income,5,108
foreign death,2,108
foreign tax credit limitation,4,108
fs stock,2,108
life insurance arrangement,3,108
loss accounts,2,108
material participation,2,108
mixed service costs,3,108
operating expenses,2,108
partnership capital,2,108
plan coverage,2,108
separate accounts,2,108
split dollar life insurance arrangement,5,108
sufficient information,2,108
total taxable,2,108
valid documentation,2,108
wage expense,2,108
contribution percentage,2,107
costs paid,2,107
credit amount,2,107
employee representative,2,107
excess distribution,2,107
exempt activities,2,107
gross foreign base company income,5,107
investment tax,2,107
operating rules,2,107
passive investment income,3,107
person means,2,107
premium tax credit,3,107
previously determined,2,107
recovery deductions,2,107
saturday sunday,2,107
support test,2,107
transfer tax,2,107
valuation method,2,107
week taxable,2,107
0 table,2,106
1.0 2.0 3.0,3,106
1248 shareholder,2,106
2.0 3.0,2,106
aggregation rules,2,106
annuity payment,2,106
business property,2,106
capital gain dividends,3,106
charitable contributions deduction,3,106
charitable remainder trust,3,106
community property laws,3,106
contributions deduction,2,106
controlled taxpayer,2,106
credit dollar,2,106
federal law,2,106
foundation status,2,106
gain dividends,2,106
losses incurred,2,106
medical surgical benefits,3,106
outstanding principal,2,106
partnership adjustments,2,106
perform services,2,106
projected payment,2,106
remainder trust,2,106
retired pay,2,106
retirement type,2,106
s's intercompany,2,106
stock owned directly,3,106
stock transferred,2,106
1.1 1.1 1.1,3,105
1997 t.d,2,105
adp test,2,105
amount distributed,2,105
asset disposition,2,105
cash flow,2,105
compensation limit,2,105
current income,2,105
direct skip,2,105
disallowed loss,2,105
dollar loan,2,105
eligible employer sponsored,3,105
enterprise zone,2,105
export trade income,3,105
held business,2,105
housing corporation,2,105
income cfc,2,105
information statement,2,105
intercompany transactions,2,105
key district,2,105
net premiums,2,105
owner withholding,2,105
period referred,2,105
prohibited tax shelter transaction,4,105
property immediately,2,105
rehabilitated building,2,105
relinquished macrs,2,105
reporting period,2,105
security retirement age,3,105
shelter transaction,2,105
social security retirement age,4,105
tax shelter transaction,3,105
threshold amount,2,105
"1,000 shares",2,104
activity gross,2,104
adequate records,2,104
authorized representative,2,104
background file document,3,104
beneficial owner withholding,3,104
care insurance,2,104
closely held business,3,104
consolidated group's,2,104
cooperative housing corporation,3,104
developed country,2,104
electing taxpayer,2,104
employee's accrued benefit,3,104
file document,2,104
fixed percentage,2,104
foreign expropriation,2,104
liabilities assumed,2,104
multiple employer,2,104
negative adjustments,2,104
period begins,2,104
qualified dividend,2,104
qualifying distributions,2,104
revenue ruling,2,104
separate operating,2,104
separate share,2,104
severally liable,2,104
undistributed capital,2,104
unpaid losses,2,104
11402 nov,2,103
activity bond,2,103
activity gross income,3,103
annualized income,2,103
benefit transaction,2,103
corporation partnership,2,103
corporation shareholders,2,103
costs attributable,2,103
debt instrument issued,3,103
employee's gross income,3,103
employer corporation,2,103
excess benefit transaction,3,103
exempt beneficial,2,103
fr 11402,2,103
fr 11402 nov,3,103
funding deficiency,2,103
housing credit dollar,3,103
income included,2,103
income tax convention,3,103
inflation index,2,103
intercompany gain,2,103
minimum age,2,103
noncapital nondeductible,2,103
plan meets,2,103
pre adjustment,2,103
private activity bond,3,103
qualified organization,2,103
reasonable estimate,2,103
regular tax liability,3,103
reinsurance transaction,2,103
successor form,2,103
tax return including,3,103
2011 t.d,2,102
2013 t.d,2,102
accepted accounting,2,102
adjustment alternative,2,102
adjustment alternative minimum,3,102
adjustment alternative minimum taxable,4,102
adjustment alternative minimum taxable income,5,102
allocated equally,2,102
amounts attributable,2,102
business operations,2,102
cost amount,2,102
credit period,2,102
eligible educational,2,102
employer contribution,2,102
examples illustrating,2,102
farm recapture,2,102
foreign income taxes deemed paid,5,102
guaranteed annuity,2,102
income tax laws,3,102
income taxes deemed paid,4,102
offshore obligation,2,102
plan loan,2,102
pre adjustment alternative,3,102
pre adjustment alternative minimum,4,102
pre adjustment alternative minimum taxable,5,102
pre adjustment alternative minimum taxable income,6,102
qualified dividend income,3,102
received deduction,2,102
recovery project,2,102
return form,2,102
s1 stock,2,102
1998 t.d,2,101
activities performed,2,101
alternative depreciation,2,101
american samoa,2,101
applicable dollar amount,3,101
arm's length range,3,101
banking business,2,101
directly attributable,2,101
energy credit,2,101
entire period,2,101
extent permitted,2,101
grandfathered health,2,101
held corporation,2,101
income includes,2,101
insurance protection,2,101
length range,2,101
maintained pursuant,2,101
operating unit,2,101
percent shareholders,2,101
pre production,2,101
previously excluded,2,101
principal purposes,2,101
property disposed,2,101
property purchased,2,101
qualified rehabilitated,2,101
qualified securities,2,101
separate accounting,2,101
split dollar loan,3,101
stock possessing,2,101
surviving spouse's,2,101
term care insurance,3,101
total compensation,2,101
voting rights,2,101
1972 t.d,2,100
1999 t.d,2,100
2003 t.d,2,100
245a shareholder,2,100
administrative procedures,2,100
applicable benchmark,2,100
benefits payable,2,100
expense allowance,2,100
farm recapture property,3,100
final average compensation,3,100
financial asset,2,100
harbor method,2,100
imported mismatch payment,3,100
law applicable,2,100
net profits,2,100
past due,2,100
price index,2,100
qualified enhanced,2,100
qualified enhanced oil,3,100
qualified financial,2,100
ratio percentage,2,100
safe harbor method,3,100
tax withholding,2,100
1256 contracts,2,99
1256 position,2,99
199a deduction,2,99
90th day,2,99
administrative expenses,2,99
change occurs,2,99
cost contributions,2,99
costs allocable,2,99
disregarded payment,2,99
domestic relations,2,99
employee means,2,99
expense deduction,2,99
insurance benefits,2,99
lifo inventory method,3,99
NA NA NA NA NA,5,99
net recognized,2,99
net recognized built,3,99
participant's accrued,2,99
passive activity gross,3,99
passive activity gross income,4,99
pct payment,2,99
plan participants,2,99
provide information,2,99
rate based,2,99
separate trusts,2,99
service provider's,2,99
stock sale,2,99
1.0 1.0 1.0 1.0,4,98
1995 t.d,2,98
accepted accounting principles,3,98
amount shown,2,98
annual statement,2,98
asset held,2,98
average benefit,2,98
book tax,2,98
corporation engaged,2,98
corporation trust,2,98
corporation's stock,2,98
credit agency,2,98
deemed distributions,2,98
depreciation allowable,2,98
domestic loss,2,98
domestic service,2,98
donee organization,2,98
employee's benefit,2,98
excess basis,2,98
expenditures incurred,2,98
health fsa,2,98
inflation adjustment,2,98
insurance company taxable,3,98
internal revenue tax,3,98
medical research,2,98
net built,2,98
pay period,2,98
plan premium,2,98
qualified active,2,98
qualified basis,2,98
qualified equity,2,98
rate equal,2,98
relinquished macrs property,3,98
revenue tax,2,98
simplified production,2,98
stock appreciation,2,98
synthetic debt,2,98
1.8 1.8,2,97
2.1 2.1,2,97
account receivable,2,97
activity deductions,2,97
actuarial factors,2,97
certified mail,2,97
deferred amount,2,97
eligible educational institution,3,97
employee's death,2,97
employer sponsored plan,3,97
entity classification,2,97
expatriated foreign,2,97
export promotion,2,97
loans outstanding,2,97
noncompensatory option,2,97
notice requirement,2,97
passive activity deductions,3,97
payment obligation,2,97
periodic payment,2,97
reserve fund,2,97
sponsored plan,2,97
traditional ira,2,97
unearned income,2,97
unrelated business income,3,97
withholding responsibility,2,97
annual rate,2,96
applicable financial statement,3,96
bona fide business,3,96
construction reconstruction,2,96
depreciation rate,2,96
economic substance,2,96
electing corporation,2,96
fide business,2,96
genetic information,2,96
historic rate,2,96
lien imposed,2,96
loss importation,2,96
money received,2,96
notified payee,2,96
offset income,2,96
partnership level,2,96
percent owned foreign corporation,4,96
plan including,2,96
plans maintained,2,96
qualified hedging transaction,3,96
qualified mortgage bonds,3,96
reasonable administrative,2,96
requirements applicable,2,96
roth contributions,2,96
separate operating mineral,3,96
sponsored direct reporting nffe,4,96
stock loss,2,96
transaction means,2,96
transfer occurs,2,96
undistributed personal,2,96
undistributed personal holding,3,96
1.4 1.4 1.4,3,95
additional benefits,2,95
alternative depreciation system,3,95
amortization deductions,2,95
annual period,2,95
applicable debt instrument,3,95
contributing partner,2,95
corporate acquisition indebtedness,3,95
decedent’s death,2,95
deemed asset disposition,3,95
education loan,2,95
farm income,2,95
housing project,2,95
hybrid entity,2,95
importation transaction,2,95
indirect partner,2,95
individual retirement annuity,3,95
loss importation transaction,3,95
net equity,2,95
notice requirements,2,95
notified payee underreporting,3,95
participant's accrued benefit,3,95
patronage dividends,2,95
pension profit,2,95
pension profit sharing,3,95
properly attributable,2,95
providing services,2,95
qualified enhanced oil recovery,4,95
qualified rehabilitated building,3,95
s's attribute,2,95
s's attribute reduction,3,95
s's attribute reduction amount,4,95
standard account,2,95
stock based,2,95
substitute agent,2,95
taxpayer advocate,2,95
taxpayer's gross,2,95
tentative carryback,2,95
transfer statement,2,95
ultimate purchaser,2,95
undistributed personal holding company,4,95
undistributed personal holding company income,5,95
variable rate debt,3,95
1.3 1.3 1.3,3,94
3.0 4.0,2,94
actively traded,2,94
adjusted taxable income,3,94
allowable deduction,2,94
amounts subject,2,94
applicable benchmark plan,3,94
designated roth contributions,3,94
identified mixed,2,94
income inclusion,2,94
intercompany item,2,94
intermediate entity,2,94
license sale,2,94
loss arising,2,94
nonaccrual experience method,3,94
nonhighly compensated employees,3,94
partnership prs,2,94
plan provision,2,94
qualified progress,2,94
qualified resident,2,94
railroad corporation,2,94
rate applicable,2,94
simplified employee pension,3,94
simplified production method,3,94
tax applies,2,94
u.s federal income tax purposes,5,94
waste disposal,2,94
written binding contract,3,94
asset acquisition,2,93
average balance,2,93
average maturity,2,93
base erosion tax,3,93
cash received,2,93
deferred gain,2,93
dependent care,2,93
domestic building,2,93
erosion tax,2,93
executory contract,2,93
expatriated foreign subsidiary,3,93
gambling winnings,2,93
housing cost amount,3,93
housing credit agency,3,93
hypothetical account balance,3,93
income required,2,93
influence legislation,2,93
investment tax credit,3,93
involuntary conversions,2,93
nongovernmental person,2,93
political subdivisions,2,93
principal office,2,93
qualified real property,3,93
rate differential,2,93
realized gain,2,93
substantial contributor,2,93
tax payments,2,93
taxable sale,2,93
taxpayer receives,2,93
taxpayer's basis,2,93
taxpayer's method,2,93
term loan,2,93
written contract,2,93
x's taxable,2,93
1.0 2.0 3.0 4.0,4,92
2.0 3.0 4.0,3,92
2.3 2.3,2,92
account balances,2,92
adjustments reflected,2,92
alternate payee,2,92
average basis,2,92
beneficial owner withholding certificate,4,92
bond issued,2,92
church plan,2,92
class size,2,92
deceased spouse,2,92
determined immediately,2,92
dividend carryover,2,92
dividend equivalent amount,3,92
domestic shareholder,2,92
economic benefits,2,92
eligible employer sponsored plan,4,92
entity basis,2,92
esop shares,2,92
form 3115,2,92
funding standard account,3,92
local advertising,2,92
married individual,2,92
multiemployer plans,2,92
owner withholding certificate,3,92
price paid,2,92
provide rules,2,92
provide services,2,92
qualified transportation,2,92
ratable portion,2,92
regulated accounting,2,92
short position,2,92
taxable transaction,2,92
written declaration,2,92
1.469 2t,2,91
adjustment determined,2,91
annuity amount,2,91
average daily,2,91
bie deduction,2,91
charitable remainder annuity,3,91
cigarette papers,2,91
credit dollar amount,3,91
decedent dying,2,91
dividends received deduction,3,91
expenses losses,2,91
extent attributable,2,91
foreign contracting,2,91
gross valuation,2,91
income net,2,91
indirectly owns,2,91
intermediary withholding,2,91
judicial proceeding,2,91
lease rental license,3,91
length price,2,91
makes payments,2,91
nonresident alien individuals,3,91
normal tax,2,91
office space,2,91
offshore obligations,2,91
owner documented,2,91
owning stock,2,91
partner level,2,91
presumption rules,2,91
qualified beneficiaries,2,91
qualified low income community,4,91
qualified plans,2,91
qualified zone,2,91
recognized gain,2,91
remainder annuity,2,91
rental license,2,91
single transaction,2,91
tax including,2,91
tier subsidiary,2,91
tribal government,2,91
uncontrolled comparables,2,91
1st day,2,90
2.8 2.8,2,90
3.0 3.0,2,90
accumulated funding,2,90
acquisition expenses,2,90
arm's length price,3,90
business asset,2,90
charitable remainder annuity trust,4,90
correction period,2,90
deemed owned esop,3,90
employees trust,2,90
enhanced oil recovery project,4,90
extent thereof,2,90
funds transfer,2,90
gain deferral,2,90
insurance proceeds,2,90
lease rental license sale,4,90
lease rental license sale exchange,5,90
letter ruling,2,90
license sale exchange,3,90
matching contribution,2,90
net foreign base,3,90
net foreign base company,4,90
oil recovery project,3,90
operations loss,2,90
owned esop,2,90
ownership test,2,90
paid pursuant,2,90
payment card,2,90
plan participant,2,90
public health,2,90
reasonable allowance,2,90
registered mail,2,90
remainder annuity trust,3,90
rental license sale,3,90
rental license sale exchange,4,90
required taxable,2,90
significant business,2,90
statement signed,2,90
stock disposition,2,90
taxable income limitation,3,90
taxable transfer,2,90
time basis,2,90
total gain,2,90
treasury department,2,90
u.s account,2,90
u.s payor,2,90
1.1 1.1 1.1 1.1,4,89
acp test,2,89
acquiring agency,2,89
advice memorandum,2,89
assets acquired,2,89
assumption reinsurance transaction,3,89
benefits accrued,2,89
central bank,2,89
consideration received,2,89
constitute employment,2,89
controlled services,2,89
cooperative association,2,89
corporate transaction,2,89
currency swap,2,89
direct lobbying,2,89
disqualified hybrid,2,89
domestic pass,2,89
earnings amount,2,89
electronic funds,2,89
electronic funds transfer,3,89
entity level,2,89
excess plan,2,89
functions performed,2,89
gross receipts test,3,89
home office,2,89
income tax withholding,3,89
lump sum payment,3,89
participant's benefit,2,89
platform contributions,2,89
policyholders surplus,2,89
progress expenditures,2,89
receipts test,2,89
separate taxable,2,89
solid waste disposal,3,89
statutory hybrid,2,89
stock purchased,2,89
supported organizations,2,89
technical advice memorandum,3,89
unused foreign tax,3,89
1.9 1.9 1.9,3,88
20.2031 7a,2,88
accompanying instructions,2,88
accumulated funding deficiency,3,88
benchmark plan premium,3,88
compensation law,2,88
consolidated net capital loss,4,88
continuous period,2,88
deemed owned esop shares,4,88
depreciation deduction allowable,3,88
disconformity amount,2,88
election pursuant,2,88
employee receives,2,88
exempt facility,2,88
foreign financial assets,3,88
governmental units,2,88
housing credit dollar amount,4,88
identified mixed straddle,3,88
indian tribal government,3,88
issue meets,2,88
lien filing,2,88
minimum funding,2,88
mutual insurance,2,88
owned esop shares,3,88
paid directly,2,88
personal purposes,2,88
potential gain,2,88
pre tax,2,88
principles set,2,88
property included,2,88
qualified cost,2,88
statement furnished,2,88
synthetic debt instrument,3,88
tax lien filing,3,88
tax period,2,88
term contracts,2,88
u.s.c 7805 t.d,3,88
written notices,2,88
written notification,2,88
0.8 0.7,2,87
3.2 3.2,2,87
advance payment,2,87
automatic contribution,2,87
basis property,2,87
beneficial owners,2,87
category stock,2,87
clearing organization,2,87
compounded semiannually,2,87
consecutive taxable,2,87
converted property,2,87
corporation received,2,87
critical status,2,87
director determines,2,87
dividend payments,2,87
employee organization,2,87
employee's compensation,2,87
employer's trade,2,87
empowerment zone,2,87
excess charitable,2,87
exemption amount,2,87
farm net,2,87
final return,2,87
foreign cash,2,87
gratuitous transfer,2,87
hypothetical distribution,2,87
industrial development,2,87
insurance company taxable income,4,87
ipic method,2,87
legal services,2,87
life insurance protection,3,87
loss incurred,2,87
maintain records,2,87
manner stated,2,87
mortgage bond,2,87
multiple asset account,3,87
payments due,2,87
policyholders surplus account,3,87
single life annuity,3,87
special basis,2,87
stock transfer,2,87
tax credits,2,87
tax items,2,87
tax previously determined,3,87
ultimate vendor,2,87
yearly average,2,87
1244 stock,2,86
1st taxable,2,86
accrued benefit derived,3,86
additional requirements,2,86
amounts includible,2,86
basis increase,2,86
benefit attributable,2,86
branch category income,3,86
court proceeding,2,86
disputed ownership,2,86
equivalent hearing,2,86
foreign branch category income,4,86
foreign contracting party,3,86
health service,2,86
inherently permanent,2,86
instruments issued,2,86
involuntarily converted,2,86
judicial review,2,86
living expenses,2,86
nonrecognition transaction,2,86
plan providing,2,86
prescription drug,2,86
prohibited transactions,2,86
property pursuant,2,86
qualified education loan,3,86
qualified floating,2,86
significant modification,2,86
special valuation,2,86
stock sold,2,86
substantial economic,2,86
term controlled,2,86
tested income cfc,3,86
testing day,2,86
transferred corporation,2,86
transfers occurring,2,86
u.s connected,2,86
1.6 1.6 1.6,3,85
aggregate foreign cash,3,85
amortization installments,2,85
annual additions,2,85
average benefit percentage,3,85
company tax,2,85
conduit financing,2,85
consolidated federal,2,85
consolidated federal income,3,85
consolidated federal income tax,4,85
cooperative organization,2,85
derivatives dealer,2,85
disqualified hybrid amount,3,85
district office,2,85
employee compensation,2,85
exempt obligation,2,85
fap eligible,2,85
ffi agreement,2,85
floor stocks tax,3,85
grandfathered health plan,3,85
housing credit allocation,3,85
hybrid amount,2,85
information contained,2,85
installment due,2,85
joint venture,2,85
legal representative,2,85
manner required,2,85
maximum excess,2,85
mixed straddle account,3,85
motor fuel,2,85
patronage dividend,2,85
payment means,2,85
premiums written,2,85
property leased,2,85
provide notice,2,85
publicly held,2,85
qualified stock disposition,3,85
reasonable efforts,2,85
sold exchanged,2,85
special enrollment,2,85
stocks tax,2,85
straddle account,2,85
substituted combined voting,3,85
tax exempt obligation,3,85
u.s beneficiary,2,85
u.s net,2,85
uncontrolled transaction,2,85
wage base,2,85
account maintained,2,84
actual notice,2,84
aggregate foreign cash position,4,84
amount thereof,2,84
analysis study,2,84
based solely,2,84
capital expenditure,2,84
category inflation index,3,84
completed form,2,84
corporation distributes,2,84
credit carryback,2,84
deficiency attributable,2,84
direct public,2,84
disqualified basis,2,84
elective deferral,2,84
foreign cash position,3,84
futures contracts,2,84
hereinafter referred,2,84
income tax withheld,3,84
installment period,2,84
international boycott,2,84
joint returns,2,84
loan proceeds,2,84
marital status,2,84
mere change,2,84
pfic stock,2,84
premium allocable,2,84
qualified progress expenditures,3,84
real property located,3,84
single entity,2,84
special motor,2,84
substitute mortality tables,3,84
swap contract,2,84
timely filed return,3,84
u.s booked,2,84
u.s shareholder's,2,84
waiting period,2,84
3.4 3.4,2,83
951a category,2,83
amounts excluded,2,83
annual depreciation,2,83
asset investment,2,83
benefits attributable,2,83
binding agreement,2,83
business asset investment,3,83
child care,2,83
deduction attributable,2,83
deferred items,2,83
designated individual,2,83
determination letters,2,83
disqualified stock,2,83
dollar term,2,83
fc2 stock,2,83
gross weight,2,83
income building,2,83
income estate,2,83
individual health,2,83
individual income tax return,4,83
integrated transaction,2,83
low income building,3,83
monthly payments,2,83
net fair,2,83
net fair market,3,83
ozone depleting,2,83
partnership liability,2,83
platform contribution,2,83
private home,2,83
qualified business asset,3,83
qualified business asset investment,4,83
qualified veterans,2,83
real property taxes,3,83
remaining adjusted,2,83
split dollar term,3,83
srly limitation,2,83
stock bonus plan,3,83
substantial u.s,2,83
time prior,2,83
withhold tax,2,83
2018 taxable,2,82
acceleration event,2,82
acquired property,2,82
adjustment factor,2,82
amount involved,2,82
apartment building,2,82
applicable employer,2,82
applicable rate,2,82
basis method,2,82
completion method,2,82
conversion transaction,2,82
deficiency distribution,2,82
deficiency dividends,2,82
depletion allowance,2,82
depreciation allowed,2,82
determining taxable,2,82
distributed corporation,2,82
distribution period,2,82
district director determines,3,82
education expenses,2,82
employer makes,2,82
exchange rates,2,82
excludable employees,2,82
family income,2,82
family size,2,82
foreign acquired,2,82
foreign acquired corporation,3,82
foreign central,2,82
form 8621,2,82
gain chargeback,2,82
ground rent,2,82
hdhp coverage,2,82
individual account,2,82
intentional disregard,2,82
limitation contained,2,82
loan balance,2,82
method taxpayer,2,82
outstanding balance,2,82
penalty addition,2,82
plan established,2,82
qualifying distribution,2,82
reasonable administrative costs,3,82
s's loss,2,82
statement filed,2,82
storage facility,2,82
subsequent transfer,2,82
substantial economic effect,3,82
substantially equal,2,82
taxpayer incurs,2,82
u.s net equity,3,82
2.1 2.1 2.1,3,81
7805 68a,2,81
additional cost,2,81
administrative adjustment,2,81
administrative claim,2,81
amount imposed,2,81
amount multiplied,2,81
amount referred,2,81
amounts held,2,81
annual gross,2,81
applicable family,2,81
branch profits,2,81
business credit,2,81
company subject,2,81
conditions set,2,81
corporation transfers,2,81
coverage period,2,81
credits allowed,2,81
de minimis safe,3,81
de minimis safe harbor,4,81
depreciation adjustments,2,81
educational assistance,2,81
expense paid,2,81
fifo method,2,81
filed pursuant,2,81
foreign source gross,3,81
foreign taxes deemed,3,81
including amounts,2,81
insurance premiums,2,81
loss shares,2,81
minimis safe,2,81
minimis safe harbor,3,81
minimum gain chargeback,3,81
money's worth,2,81
net capital losses,3,81
nondiscrimination requirements,2,81
offered regulated,2,81
offered regulated investment,3,81
offset plan,2,81
oil property,2,81
organization means,2,81
partially tax,2,81
presumed adjusted,2,81
presumed adjusted funding,3,81
presumed adjusted funding target,4,81
qualifying individual,2,81
relevant factors,2,81
responsible officer,2,81
restructuring transaction,2,81
segment rate,2,81
telephone service,2,81
timely file,2,81
transferee corporation,2,81
xyz corporation,2,81
1.0 2.0 3.0 4.0 5.0,5,80
1.4 1.4 1.4 1.4,4,80
2.0 3.0 4.0 5.0,4,80
2005 t.d,2,80
3.0 4.0 5.0,3,80
4.0 5.0,2,80
account holder's,2,80
acquisition cost,2,80
allowable depreciation,2,80
asset reorganization,2,80
carrying charges,2,80
church tax,2,80
combined voting level,3,80
communications activity,2,80
computing adjusted,2,80
contract including,2,80
contractual terms,2,80
controlled participant's,2,80
currency loss,2,80
deficit foreign,2,80
determining taxable income,3,80
disputed ownership fund,3,80
employee's account,2,80
employment relationship,2,80
exempt beneficial owner,3,80
gain subject,2,80
gst tax,2,80
income loss,2,80
insurance policies,2,80
life insurance companies,3,80
m's sale,2,80
mailing address,2,80
mineral deposit,2,80
net foreign base company income,5,80
nonpurpose investments,2,80
nonqualified written,2,80
operated exclusively,2,80
operating foundation,2,80
optional depreciation,2,80
ownership fund,2,80
pay tax,2,80
person authorized,2,80
qualified appraisal,2,80
real estate taxes,3,80
reasonable belief,2,80
regulatory body,2,80
reported amount,2,80
rfa owner,2,80
rollover distributions,2,80
s's gain,2,80
tax motivated,2,80
taxpayer sells,2,80
term gross,2,80
test rate,2,80
total costs,2,80
total services,2,80
unit retain,2,80
1.0 1.0 1.0 1.0 1.0,5,79
1.8 1.8 1.8,3,79
2020 taxable,2,79
amounts withheld,2,79
applicable convention,2,79
b's gross,2,79
b's share,2,79
bond issue,2,79
calendar taxable,2,79
deemed asset sale,3,79
deficiency procedures,2,79
earlier taxable,2,79
entity manager,2,79
form 8886,2,79
frozen accrued,2,79
gain limitation,2,79
gross insurance,2,79
gross sales,2,79
harbor formula,2,79
income account,2,79
income effectively,2,79
income effectively connected,3,79
intangible asset,2,79
joint committee,2,79
loss means,2,79
military service,2,79
minus line,2,79
option granted,2,79
partner nonrecourse debt,3,79
payable annually,2,79
plan organization,2,79
qualified nonelective,2,79
recapture determination,2,79
safe harbor formula,3,79
shortfall amortization base,3,79
stock exchange,2,79
substituted combined voting level,4,79
total income,2,79
trust sales,2,79
trust sales proceeds,3,79
1.3 1.3 1.3 1.3,4,78
account held,2,78
accrual rates,2,78
active business,2,78
amount transferred,2,78
amounts previously,2,78
anti churning,2,78
applicable taxpayer,2,78
apportionment plan,2,78
b's basis,2,78
bearer form,2,78
business presence,2,78
comparable contributions,2,78
constructive sale,2,78
correction amount,2,78
daily portions,2,78
day letter,2,78
deficiency dividend,2,78
